INFO [2025-05-09 04:15:06] Starting NBA data fetch script
INFO [2025-05-09 04:15:52] Successfully fetched game 0022400135 (72/1230)
INFO [2025-05-09 04:15:53] Successfully fetched game 0022400137 (73/1230)
INFO [2025-05-09 04:15:54] Successfully fetched game 0022400134 (74/1230)
INFO [2025-05-09 04:15:54] Successfully fetched game 0022400132 (75/1230)
INFO [2025-05-09 04:15:55] Successfully fetched game 0022400136 (76/1230)
INFO [2025-05-09 04:15:55] Successfully fetched game 0022400133 (77/1230)
INFO [2025-05-09 04:15:56] Successfully fetched game 0022400138 (78/1230)
INFO [2025-05-09 04:15:57] Successfully fetched game 0022400139 (79/1230)
INFO [2025-05-09 04:15:57] Successfully fetched game 0022400140 (80/1230)
INFO [2025-05-09 04:15:58] Successfully fetched game 0022400148 (81/1230)
INFO [2025-05-09 04:15:59] Successfully fetched game 0022400147 (82/1230)
INFO [2025-05-09 04:15:59] Successfully fetched game 0022400150 (83/1230)
INFO [2025-05-09 04:16:00] Successfully fetched game 0022400144 (84/1230)
INFO [2025-05-09 04:16:03] Successfully fetched game 0022400145 (85/1230)
INFO [2025-05-09 04:16:04] Successfully fetched game 0022400146 (86/1230)
INFO [2025-05-09 04:16:04] Successfully fetched game 0022400143 (87/1230)
INFO [2025-05-09 04:16:05] Successfully fetched game 0022400142 (88/1230)
INFO [2025-05-09 04:16:06] Successfully fetched game 0022400141 (89/1230)
INFO [2025-05-09 04:16:06] Successfully fetched game 0022400149 (90/1230)
INFO [2025-05-09 04:16:07] Successfully fetched game 0022400152 (91/1230)
INFO [2025-05-09 04:16:08] Successfully fetched game 0022400153 (92/1230)
INFO [2025-05-09 04:16:08] Successfully fetched game 0022400151 (93/1230)
INFO [2025-05-09 04:16:09] Successfully fetched game 0022400159 (94/1230)
INFO [2025-05-09 04:16:09] Successfully fetched game 0022400168 (95/1230)
INFO [2025-05-09 04:16:10] Successfully fetched game 0022400160 (96/1230)
INFO [2025-05-09 04:16:10] Successfully fetched game 0022400162 (97/1230)
INFO [2025-05-09 04:16:11] Successfully fetched game 0022400157 (98/1230)
INFO [2025-05-09 04:16:12] Successfully fetched game 0022400161 (99/1230)
INFO [2025-05-09 04:16:13] Successfully fetched game 0022400155 (100/1230)
INFO [2025-05-09 04:16:13] Successfully fetched game 0022400163 (101/1230)
INFO [2025-05-09 04:16:14] Successfully fetched game 0022400165 (102/1230)
INFO [2025-05-09 04:16:14] Successfully fetched game 0022400166 (103/1230)
INFO [2025-05-09 04:16:15] Successfully fetched game 0022400154 (104/1230)
INFO [2025-05-09 04:16:15] Successfully fetched game 0022400167 (105/1230)
INFO [2025-05-09 04:16:16] Successfully fetched game 0022400164 (106/1230)
INFO [2025-05-09 04:16:17] Successfully fetched game 0022400158 (107/1230)
INFO [2025-05-09 04:16:17] Successfully fetched game 0022400156 (108/1230)
INFO [2025-05-09 04:16:18] Successfully fetched game 0022400169 (109/1230)
INFO [2025-05-09 04:16:18] Successfully fetched game 0022400180 (110/1230)
INFO [2025-05-09 04:16:19] Successfully fetched game 0022400172 (111/1230)
INFO [2025-05-09 04:16:19] Successfully fetched game 0022400173 (112/1230)
INFO [2025-05-09 04:16:20] Successfully fetched game 0022400175 (113/1230)
INFO [2025-05-09 04:16:20] Successfully fetched game 0022400171 (114/1230)
INFO [2025-05-09 04:16:21] Successfully fetched game 0022400174 (115/1230)
INFO [2025-05-09 04:16:21] Successfully fetched game 0022400178 (116/1230)
