nba_id,year,player_name,bref_id,team,FT_PERC,FTPerc,games,is_aggregate_team
1035,1997,Shawnelle Scott,scottsh01,CLE,0.364,0.364,16,False
428,1997,Sherman Douglas,douglsh01,MIL,0.667,0.667,79,False
278,1997,Stacey Augmon,augmost01,2TM,0.711,0.711,60,True
351,1997,Stacey King,kingst01,2TM,0.286,0.286,11,True
914,1997,Stanley Roberts,roberst01,LAC,0.703,0.703,18,False
1128,1997,Stephen Howard,howarst01,2TM,0.642,0.642,49,True
950,1997,Stephon Marbury,marbust01,MIN,0.727,0.727,67,False
984,1997,Steve Hamer,hamerst01,BOS,0.552,0.552,35,False
70,1997,Steve Kerr,kerrst01,CHI,0.806,0.806,82,False
959,1997,Steve Nash,nashst01,PHO,0.824,0.824,65,False
88,1997,Steve Scheffler,schefst01,SEA,0.5,0.5,7,False
120,1997,Steve Smith,smithst01,ATL,0.847,0.847,72,False
1478,1997,Stevin Smith,smithst02,DAL,1.0,1.0,8,False
1037,1997,Stojko Vranković,vrankst01,MIN,0.676,0.676,53,False
210,1997,Terrell Brandon,brandte01,CLE,0.902,0.902,78,False
187,1997,Terry Cummings,cummite01,SEA,0.695,0.695,45,False
143,1997,Terry Dehere,deherte01,LAC,0.824,0.824,73,False
371,1997,Terry Mills,millste01,DET,0.829,0.829,79,False
345,1997,Terry Porter,portete01,MIN,0.765,0.765,82,False
689,1997,Theo Ratliff,ratlith01,DET,0.698,0.698,76,False
896,1997,Tim Hardaway,hardati01,MIA,0.799,0.799,81,False
1118,1997,Tim Kempton,kemptti01,SAS,1.0,1.0,10,False
100,1997,Tim Legler,legleti01,WSB,0.857,0.857,15,False
103,1997,Todd Day,dayto01,BOS,0.773,0.773,81,False
957,1997,Todd Fuller,fulleto02,GSW,0.691,0.691,75,False
1472,1997,Tom Chambers,chambto01,CHH,0.75,0.75,12,False
339,1997,Tom Gugliotta,guglito01,MIN,0.82,0.82,81,False
67,1997,Tom Hammonds,hammoto01,DEN,0.721,0.721,81,False
389,1997,Toni Kukoč,kukocto01,CHI,0.77,0.77,57,False
